model,nominal,empirical
armtoken,0,0.000139645
armtoken,0.01,0.00872783
armtoken,0.02,0.0167574
armtoken,0.03,0.024822
armtoken,0.04,0.0342829
armtoken,0.05,0.0434646
armtoken,0.06,0.0512149
armtoken,0.07,0.0595936
armtoken,0.08,0.068112
armtoken,0.09,0.0775381
armtoken,0.1,0.0860564
armtoken,0.11,0.0957269
armtoken,0.12,0.104769
armtoken,0.13,0.11437
armtoken,0.14,0.122888
armtoken,0.15,0.131546
armtoken,0.16,0.13968
armtoken,0.17,0.148687
armtoken,0.18,0.15752
armtoken,0.19,0.165305
armtoken,0.2,0.1733
armtoken,0.21,0.183215
armtoken,0.22,0.19292
armtoken,0.23,0.201124
armtoken,0.24,0.209468
armtoken,0.25,0.217812
armtoken,0.26,0.226889
armtoken,0.27,0.235651
armtoken,0.28,0.243856
armtoken,0.29,0.253317
armtoken,0.3,0.261905
armtoken,0.31,0.270807
armtoken,0.32,0.280163
armtoken,0.33,0.28945
armtoken,0.34,0.298317
armtoken,0.35,0.307289
armtoken,0.36,0.314795
armtoken,0.37,0.323558
armtoken,0.38,0.332181
armtoken,0.39,0.340595
armtoken,0.4,0.350614
armtoken,0.41,0.359272
armtoken,0.42,0.367477
armtoken,0.43,0.377566
armtoken,0.44,0.386294
armtoken,0.45,0.395894
armtoken,0.46,0.404029
armtoken,0.47,0.412582
armtoken,0.48,0.422427
armtoken,0.49,0.433599
armtoken,0.5,0.443199
armtoken,0.51,0.453009
armtoken,0.52,0.461737
armtoken,0.53,0.471198
armtoken,0.54,0.479821
armtoken,0.55,0.489317
armtoken,0.56,0.497905
armtoken,0.57,0.507541
armtoken,0.58,0.516862
armtoken,0.59,0.527475
armtoken,0.6,0.536727
armtoken,0.61,0.545873
armtoken,0.62,0.555195
armtoken,0.63,0.565424
armtoken,0.64,0.574326
armtoken,0.65,0.583613
armtoken,0.66,0.593737
armtoken,0.67,0.603233
armtoken,0.68,0.612345
armtoken,0.69,0.622888
armtoken,0.7,0.633291
armtoken,0.71,0.644079
armtoken,0.72,0.655146
armtoken,0.73,0.66555
armtoken,0.74,0.677594
armtoken,0.75,0.6888
armtoken,0.76,0.699134
armtoken,0.77,0.708944
armtoken,0.78,0.719138
armtoken,0.79,0.73031
armtoken,0.8,0.740679
armtoken,0.81,0.751152
armtoken,0.82,0.762463
armtoken,0.83,0.772553
armtoken,0.84,0.784248
armtoken,0.85,0.796502
armtoken,0.86,0.807778
armtoken,0.87,0.819613
armtoken,0.88,0.832111
armtoken,0.89,0.844889
armtoken,0.9,0.857492
armtoken,0.91,0.869885
armtoken,0.92,0.883361
armtoken,0.93,0.896488
armtoken,0.94,0.90944
armtoken,0.95,0.922043
armtoken,0.96,0.937753
armtoken,0.97,0.953149
armtoken,0.98,0.968301
armtoken,0.99,0.984534
armtoken,1,1
