model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.829939,0.9114,0.83065,0.0822298,0.0625597,0.046975,0.96203,0.735189,0.809008,0.505376,0.894009,0.9447,0.0232788,0.868434
armtoken,1q,0.834204,0.913687,0.834824,0.0838585,0.0667479,0.0138166,1.06036,0.842401,0.83489,0.423963,0.863287,0.93702,0.0633942,0.010148
armtoken,2p,0.865276,0.93235,0.869276,0.0744116,0.0578815,0.117293,1.07537,0.85065,0.877954,0.420891,0.863287,0.938556,0.0918144,3.07456e-05
armtoken,2q,0.785141,0.886155,0.785271,0.0926507,0.071534,0.00751967,0.964919,0.748859,0.765482,0.483871,0.90169,0.947773,0.0325718,0.488214
armtoken,3p,0.89104,0.945077,0.893171,0.0690296,0.0534854,0.0972849,0.972986,0.754015,0.866026,0.474654,0.892473,0.952381,0.0512271,0.0634828
armtoken,3q,0.849879,0.923232,0.852357,0.0756134,0.0583651,0.104826,0.997687,0.777287,0.853753,0.466974,0.877112,0.93702,0.0470528,0.108853
armtoken,4p,0.91284,0.95601,0.913955,0.0606834,0.0453229,0.0597462,1.18314,0.905626,0.93313,0.407066,0.812596,0.887865,0.0793284,0.000510377
armtoken,4q,0.816069,0.903892,0.817021,0.0890626,0.0684808,0.0477818,1.00321,0.775022,0.79591,0.473118,0.889401,0.93702,0.0349787,0.397137
armtoken,5p,0.925337,0.962408,0.926228,0.0558469,0.0424621,0.0786278,0.958887,0.736847,0.912103,0.497696,0.892473,0.930876,0.0435282,0.165561
armtoken,5q,0.831313,0.912255,0.83221,0.0833881,0.0642334,0.0538156,1.12388,0.864507,0.854511,0.457757,0.854071,0.907834,0.0699929,0.00319022
armtoken,6p,0.897478,0.94793,0.898572,0.0625444,0.0470988,-0.0386286,1.01826,0.775451,0.901015,0.486943,0.897081,0.947773,0.0335449,0.450168
armtoken,6q,0.849607,0.924937,0.855508,0.077648,0.0609373,0.176872,0.980453,0.773956,0.834702,0.465438,0.889401,0.943164,0.0846232,0.000163017
armtoken,7p,0.912304,0.955183,0.912374,0.0594715,0.0457835,0.0113468,0.998816,0.775485,0.90547,0.47619,0.900154,0.938556,0.0260303,0.764605
armtoken,7q,0.86935,0.932881,0.870267,0.0699785,0.0538174,0.0608649,0.941938,0.725094,0.855771,0.511521,0.892473,0.949309,0.042673,0.182374
armtoken,8p,0.914575,0.956523,0.914936,0.0581019,0.0440032,-0.0742381,1.04496,0.784566,0.913596,0.471582,0.869432,0.943164,0.0628791,0.011054
armtoken,8q,0.863837,0.929583,0.864125,0.0712224,0.0555325,0.0237614,1.10292,0.862513,0.891544,0.436252,0.852535,0.915515,0.0555036,0.0348379
armtoken,9p,0.913804,0.956787,0.915442,0.0590458,0.0460833,0.129295,1.04327,0.821612,0.915677,0.434716,0.889401,0.9447,0.0866366,0.000103598
armtoken,9q,0.873025,0.935073,0.874361,0.0696781,0.0548968,0.0722546,1.00545,0.801158,0.878424,0.448541,0.867896,0.940092,0.058398,0.022585
armtoken,10p,0.921991,0.960873,0.923276,0.0565464,0.0425402,0.104505,0.955278,0.727972,0.907553,0.474654,0.889401,0.952381,0.077139,0.00080074
armtoken,10q,0.865984,0.932616,0.869772,0.0749394,0.0585494,0.151603,0.99679,0.788402,0.855893,0.465438,0.880184,0.93702,0.0955509,1.22473e-05
armtoken,11p,0.912129,0.955392,0.912774,0.0553827,0.0432698,0.0540879,1.01515,0.795986,0.920896,0.437788,0.877112,0.930876,0.0502614,0.0722121
armtoken,11q,0.88899,0.943265,0.889749,0.0664713,0.051614,0.0734456,1.10613,0.859299,0.903108,0.439324,0.854071,0.910906,0.0580313,0.0238891
armtoken,12p,0.938993,0.969098,0.939151,0.0505961,0.0383979,-0.0282494,0.983269,0.757351,0.930054,0.485407,0.886329,0.935484,0.0316264,0.526563
armtoken,12q,0.878024,0.938896,0.881525,0.0699522,0.0552928,0.148033,0.907346,0.728621,0.850174,0.494624,0.90937,0.963134,0.0729776,0.00182043
armtoken,13p,0.944878,0.972628,0.946005,0.0458935,0.0339022,-0.0548654,0.874751,0.663896,0.927023,0.53149,0.918587,0.967742,0.0583897,0.0226137
armtoken,13q,0.884457,0.941739,0.886873,0.0689635,0.0545628,0.115369,0.996365,0.801656,0.879756,0.434716,0.872504,0.949309,0.0679952,0.00458373
armtoken,14p,0.937407,0.968518,0.938027,0.0530794,0.0376237,0.0246816,1.10092,0.808668,0.942117,0.454685,0.855607,0.915515,0.0417709,0.201531
armtoken,14q,0.889481,0.944215,0.891542,0.0695152,0.0520447,0.00721505,1.03708,0.7752,0.883228,0.473118,0.890937,0.9447,0.0334887,0.452323
armtoken,15p,0.946755,0.973064,0.946853,0.0463237,0.0347995,-0.0522698,0.963552,0.749313,0.939564,0.47619,0.87404,0.943164,0.0517357,0.0592592
armtoken,15q,0.889947,0.943499,0.89019,0.063551,0.0500599,1.11416e-05,1.06331,0.831311,0.903733,0.443932,0.852535,0.929339,0.0454411,0.132404
armtoken,16p,0.930179,0.964683,0.930613,0.0539996,0.0418417,0.0756605,1.05719,0.835836,0.930236,0.423963,0.84639,0.920123,0.0574065,0.0262651
armtoken,16q,0.929196,0.965179,0.931571,0.0528846,0.0419078,0.128765,0.860774,0.698004,0.903062,0.47619,0.918587,0.970814,0.0776623,0.00071983
