model,nominal,empirical
cloneatt,0,0.000139645
cloneatt,0.01,0.0107178
cloneatt,0.02,0.0189568
cloneatt,0.03,0.0280338
cloneatt,0.04,0.0368664
cloneatt,0.05,0.0465019
cloneatt,0.06,0.0568356
cloneatt,0.07,0.0660871
cloneatt,0.08,0.076002
cloneatt,0.09,0.0839617
cloneatt,0.1,0.0927245
cloneatt,0.11,0.101627
cloneatt,0.12,0.110809
cloneatt,0.13,0.120549
cloneatt,0.14,0.12987
cloneatt,0.15,0.138982
cloneatt,0.16,0.149735
cloneatt,0.17,0.159719
cloneatt,0.18,0.168866
cloneatt,0.19,0.178502
cloneatt,0.2,0.188696
cloneatt,0.21,0.198261
cloneatt,0.22,0.207059
cloneatt,0.23,0.21666
cloneatt,0.24,0.22647
cloneatt,0.25,0.235896
cloneatt,0.26,0.245357
cloneatt,0.27,0.254922
cloneatt,0.28,0.264872
cloneatt,0.29,0.274717
cloneatt,0.3,0.284108
cloneatt,0.31,0.293465
cloneatt,0.32,0.303763
cloneatt,0.33,0.313643
cloneatt,0.34,0.323174
cloneatt,0.35,0.33253
cloneatt,0.36,0.341223
cloneatt,0.37,0.35037
cloneatt,0.38,0.359482
cloneatt,0.39,0.368629
cloneatt,0.4,0.37809
cloneatt,0.41,0.386224
cloneatt,0.42,0.395371
cloneatt,0.43,0.405635
cloneatt,0.44,0.416073
cloneatt,0.45,0.425185
cloneatt,0.46,0.434471
cloneatt,0.47,0.444177
cloneatt,0.48,0.453952
cloneatt,0.49,0.463273
cloneatt,0.5,0.474026
cloneatt,0.51,0.483906
cloneatt,0.52,0.494065
cloneatt,0.53,0.504538
cloneatt,0.54,0.514418
cloneatt,0.55,0.523775
cloneatt,0.56,0.53348
cloneatt,0.57,0.542033
cloneatt,0.58,0.552088
cloneatt,0.59,0.562142
cloneatt,0.6,0.57265
cloneatt,0.61,0.582635
cloneatt,0.62,0.592969
cloneatt,0.63,0.603477
cloneatt,0.64,0.612798
cloneatt,0.65,0.623062
cloneatt,0.66,0.633291
cloneatt,0.67,0.642997
cloneatt,0.68,0.653121
cloneatt,0.69,0.662966
cloneatt,0.7,0.673963
cloneatt,0.71,0.683145
cloneatt,0.72,0.692606
cloneatt,0.73,0.702974
cloneatt,0.74,0.713203
cloneatt,0.75,0.724026
cloneatt,0.76,0.733871
cloneatt,0.77,0.743786
cloneatt,0.78,0.754783
cloneatt,0.79,0.764314
cloneatt,0.8,0.775101
cloneatt,0.81,0.785924
cloneatt,0.82,0.796432
cloneatt,0.83,0.806696
cloneatt,0.84,0.817903
cloneatt,0.85,0.829353
cloneatt,0.86,0.841188
cloneatt,0.87,0.852604
cloneatt,0.88,0.863811
cloneatt,0.89,0.874738
cloneatt,0.9,0.886119
cloneatt,0.91,0.89949
cloneatt,0.92,0.91136
cloneatt,0.93,0.922951
cloneatt,0.94,0.934995
cloneatt,0.95,0.946725
cloneatt,0.96,0.957443
cloneatt,0.97,0.969488
cloneatt,0.98,0.981148
cloneatt,0.99,0.991517
cloneatt,1,1
