model,nominal,empirical
cloneatt,0,0.000139645
cloneatt,0.01,0.00928641
cloneatt,0.02,0.0189918
cloneatt,0.03,0.0276847
cloneatt,0.04,0.0368314
cloneatt,0.05,0.044896
cloneatt,0.06,0.0530652
cloneatt,0.07,0.0624564
cloneatt,0.08,0.0713937
cloneatt,0.09,0.0800866
cloneatt,0.1,0.0895825
cloneatt,0.11,0.0984848
cloneatt,0.12,0.107317
cloneatt,0.13,0.117058
cloneatt,0.14,0.12596
cloneatt,0.15,0.135072
cloneatt,0.16,0.143939
cloneatt,0.17,0.152388
cloneatt,0.18,0.160487
cloneatt,0.19,0.169355
cloneatt,0.2,0.178187
cloneatt,0.21,0.18716
cloneatt,0.22,0.195154
cloneatt,0.23,0.203428
cloneatt,0.24,0.213029
cloneatt,0.25,0.221443
cloneatt,0.26,0.23038
cloneatt,0.27,0.238898
cloneatt,0.28,0.248254
cloneatt,0.29,0.256947
cloneatt,0.3,0.265396
cloneatt,0.31,0.274997
cloneatt,0.32,0.284388
cloneatt,0.33,0.293918
cloneatt,0.34,0.3031
cloneatt,0.35,0.311723
cloneatt,0.36,0.321289
cloneatt,0.37,0.330366
cloneatt,0.38,0.338849
cloneatt,0.39,0.348275
cloneatt,0.4,0.357806
cloneatt,0.41,0.366988
cloneatt,0.42,0.376588
cloneatt,0.43,0.386364
cloneatt,0.44,0.395475
cloneatt,0.45,0.404622
cloneatt,0.46,0.413385
cloneatt,0.47,0.42309
cloneatt,0.48,0.432586
cloneatt,0.49,0.441873
cloneatt,0.5,0.450251
cloneatt,0.51,0.459643
cloneatt,0.52,0.468056
cloneatt,0.53,0.477587
cloneatt,0.54,0.487676
cloneatt,0.55,0.496823
cloneatt,0.56,0.506843
cloneatt,0.57,0.516688
cloneatt,0.58,0.526183
cloneatt,0.59,0.535854
cloneatt,0.6,0.545943
cloneatt,0.61,0.556731
cloneatt,0.62,0.566506
cloneatt,0.63,0.577119
cloneatt,0.64,0.586196
cloneatt,0.65,0.595901
cloneatt,0.66,0.60613
cloneatt,0.67,0.616115
cloneatt,0.68,0.626274
cloneatt,0.69,0.636015
cloneatt,0.7,0.646139
cloneatt,0.71,0.657101
cloneatt,0.72,0.667051
cloneatt,0.73,0.67714
cloneatt,0.74,0.687195
cloneatt,0.75,0.697842
cloneatt,0.76,0.707932
cloneatt,0.77,0.718685
cloneatt,0.78,0.728774
cloneatt,0.79,0.74005
cloneatt,0.8,0.750454
cloneatt,0.81,0.761521
cloneatt,0.82,0.773041
cloneatt,0.83,0.784457
cloneatt,0.84,0.795175
cloneatt,0.85,0.805649
cloneatt,0.86,0.81689
cloneatt,0.87,0.828446
cloneatt,0.88,0.840036
cloneatt,0.89,0.85058
cloneatt,0.9,0.863183
cloneatt,0.91,0.877007
cloneatt,0.92,0.890064
cloneatt,0.93,0.902248
cloneatt,0.94,0.916038
cloneatt,0.95,0.930422
cloneatt,0.96,0.943932
cloneatt,0.97,0.957373
cloneatt,0.98,0.972385
cloneatt,0.99,0.986559
cloneatt,1,1
