model,nominal,empirical
cloneatt,0,0.000174557
cloneatt,0.01,0.00984499
cloneatt,0.02,0.0196202
cloneatt,0.03,0.0284876
cloneatt,0.04,0.0393451
cloneatt,0.05,0.0490155
cloneatt,0.06,0.0591398
cloneatt,0.07,0.0691244
cloneatt,0.08,0.0795978
cloneatt,0.09,0.0889541
cloneatt,0.1,0.0991482
cloneatt,0.11,0.107841
cloneatt,0.12,0.117407
cloneatt,0.13,0.127531
cloneatt,0.14,0.136817
cloneatt,0.15,0.146348
cloneatt,0.16,0.156473
cloneatt,0.17,0.165724
cloneatt,0.18,0.175534
cloneatt,0.19,0.184541
cloneatt,0.2,0.194351
cloneatt,0.21,0.203393
cloneatt,0.22,0.213762
cloneatt,0.23,0.223293
cloneatt,0.24,0.233138
cloneatt,0.25,0.243297
cloneatt,0.26,0.252758
cloneatt,0.27,0.262882
cloneatt,0.28,0.272134
cloneatt,0.29,0.281699
cloneatt,0.3,0.290811
cloneatt,0.31,0.30118
cloneatt,0.32,0.311234
cloneatt,0.33,0.319474
cloneatt,0.34,0.328935
cloneatt,0.35,0.337593
cloneatt,0.36,0.346355
cloneatt,0.37,0.355956
cloneatt,0.38,0.365522
cloneatt,0.39,0.375541
cloneatt,0.4,0.386154
cloneatt,0.41,0.395441
cloneatt,0.42,0.404622
cloneatt,0.43,0.414328
cloneatt,0.44,0.423893
cloneatt,0.45,0.433843
cloneatt,0.46,0.444002
cloneatt,0.47,0.453917
cloneatt,0.48,0.463413
cloneatt,0.49,0.473537
cloneatt,0.5,0.484115
cloneatt,0.51,0.493157
cloneatt,0.52,0.503037
cloneatt,0.53,0.513022
cloneatt,0.54,0.522832
cloneatt,0.55,0.533061
cloneatt,0.56,0.543046
cloneatt,0.57,0.552821
cloneatt,0.58,0.561549
cloneatt,0.59,0.570905
cloneatt,0.6,0.580645
cloneatt,0.61,0.589827
cloneatt,0.62,0.599567
cloneatt,0.63,0.610459
cloneatt,0.64,0.620723
cloneatt,0.65,0.630952
cloneatt,0.66,0.641251
cloneatt,0.67,0.651376
cloneatt,0.68,0.661605
cloneatt,0.69,0.672322
cloneatt,0.7,0.681853
cloneatt,0.71,0.691803
cloneatt,0.72,0.701718
cloneatt,0.73,0.712121
cloneatt,0.74,0.721931
cloneatt,0.75,0.732265
cloneatt,0.76,0.742564
cloneatt,0.77,0.753107
cloneatt,0.78,0.76379
cloneatt,0.79,0.77374
cloneatt,0.8,0.784527
cloneatt,0.81,0.794372
cloneatt,0.82,0.805265
cloneatt,0.83,0.816087
cloneatt,0.84,0.826037
cloneatt,0.85,0.836301
cloneatt,0.86,0.846984
cloneatt,0.87,0.858539
cloneatt,0.88,0.868349
cloneatt,0.89,0.879137
cloneatt,0.9,0.890448
cloneatt,0.91,0.902178
cloneatt,0.92,0.912477
cloneatt,0.93,0.923858
cloneatt,0.94,0.934646
cloneatt,0.95,0.94498
cloneatt,0.96,0.957338
cloneatt,0.97,0.968685
cloneatt,0.98,0.981183
cloneatt,0.99,0.990748
cloneatt,1,1
