model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.105603,0.325114,0.105699,0.188578,0.149536,-0.00801482,1.01672,0.806458,0.137888,0.479263,0.883257,0.940092,0.020283,0.949665
cloneatt,1q,0.187328,0.441852,0.195233,0.18566,0.14822,0.103754,1.02093,0.819489,0.180857,0.46851,0.880184,0.930876,0.0605155,0.0162198
cloneatt,2p,0.174544,0.432398,0.186968,0.184189,0.146389,-0.0868606,1.00465,0.798129,0.151412,0.486943,0.890937,0.946237,0.046875,0.111269
cloneatt,2q,0.181259,0.430403,0.185246,0.180861,0.143193,0.0399821,1.02982,0.813945,0.222056,0.47619,0.87404,0.933948,0.0436636,0.163014
cloneatt,3p,0.396276,0.632155,0.39962,0.162488,0.129026,-0.0793982,1.03626,0.824894,0.377261,0.453149,0.866359,0.941628,0.0689028,0.00389289
cloneatt,3q,0.24039,0.497607,0.247613,0.170088,0.132547,0.0915171,0.959406,0.749806,0.210469,0.497696,0.90937,0.943164,0.0531179,0.0489789
cloneatt,4p,0.433357,0.66457,0.441654,0.154727,0.123847,0.0861895,0.929138,0.742146,0.287698,0.519201,0.887865,0.946237,0.0478877,0.0980852
cloneatt,4q,0.200565,0.448918,0.201527,0.185678,0.146922,0.0313669,1.00427,0.793736,0.132889,0.49616,0.889401,0.953917,0.0471302,0.107815
cloneatt,5p,0.552134,0.743712,0.553108,0.136779,0.109718,0.0365512,1.01315,0.803817,0.51991,0.466974,0.878648,0.933948,0.0342065,0.425227
cloneatt,5q,0.286342,0.540245,0.291865,0.171518,0.137078,-0.0822686,1.00921,0.807345,0.272252,0.462366,0.90169,0.950845,0.0620544,0.0126575
cloneatt,6p,0.5499,0.75197,0.565459,0.131049,0.103877,-0.179376,1.03111,0.810148,0.572873,0.479263,0.875576,0.932412,0.0869757,9.58819e-05
cloneatt,6q,0.24189,0.494886,0.244912,0.174335,0.139209,0.0193191,0.963618,0.76829,0.167898,0.508449,0.897081,0.956989,0.0176688,0.986443
cloneatt,7p,0.201716,0.454734,0.206783,0.179431,0.144848,0.00481423,0.984787,0.792914,0.157979,0.479263,0.883257,0.932412,0.0203217,0.948881
cloneatt,7q,0.155321,0.39869,0.158954,0.177933,0.14107,-0.0461959,0.951895,0.75294,0.116044,0.506912,0.913978,0.955453,0.0335716,0.449146
cloneatt,8p,0.235088,0.506273,0.256313,0.173861,0.139131,-0.127092,1.02388,0.82238,0.272193,0.483871,0.880184,0.9447,0.0668304,0.00563486
cloneatt,8q,0.405978,0.64462,0.415534,0.148761,0.118592,-0.0989783,0.965385,0.773823,0.407413,0.50384,0.906298,0.950845,0.0567753,0.0288755
cloneatt,9p,0.183392,0.437531,0.191433,0.181741,0.142742,0.0959006,0.985975,0.776163,0.148792,0.522273,0.887865,0.932412,0.066495,0.00597609
cloneatt,9q,0.260771,0.520851,0.271285,0.168123,0.132221,0.101068,0.935661,0.740192,0.190685,0.542243,0.913978,0.96467,0.0631805,0.0105155
cloneatt,10p,0.111259,0.337118,0.113648,0.190862,0.153245,-0.0483587,0.963212,0.773571,0.0143616,0.537634,0.906298,0.949309,0.0529125,0.0504021
cloneatt,10q,0.286616,0.53717,0.288552,0.1729,0.13932,0.0174507,0.971433,0.781278,0.195226,0.488479,0.907834,0.950845,0.0159678,0.996107
cloneatt,11p,0.308943,0.558447,0.311863,0.155313,0.123469,-0.0396557,0.918805,0.729934,0.274864,0.53149,0.918587,0.950845,0.0374179,0.316134
cloneatt,11q,0.529587,0.729802,0.532611,0.136833,0.108587,-0.0444902,0.968959,0.76487,0.488047,0.483871,0.900154,0.955453,0.0290748,0.634831
cloneatt,12p,0.292116,0.545657,0.297741,0.172349,0.141076,0.0417879,0.97656,0.79692,0.206815,0.488479,0.878648,0.941628,0.0392599,0.263008
cloneatt,12q,0.164868,0.410209,0.168271,0.183039,0.147561,0.06069,1.00041,0.80562,0.151294,0.491551,0.880184,0.949309,0.0551295,0.0367861
cloneatt,13p,0.273146,0.525618,0.276275,0.166653,0.133976,0.0440314,0.974041,0.782109,0.25663,0.497696,0.892473,0.947773,0.0505443,0.0695552
cloneatt,13q,0.467276,0.689946,0.476026,0.148081,0.117029,0.128898,1.00964,0.801727,0.46272,0.474654,0.895545,0.926267,0.0760599,0.000995128
cloneatt,14p,0.721527,0.854854,0.730775,0.111958,0.0854878,-0.156131,1.07298,0.827117,0.726483,0.466974,0.857143,0.924731,0.070919,0.00268726
cloneatt,14q,0.2444,0.50159,0.251592,0.181764,0.143969,-0.081602,0.979991,0.778457,0.140765,0.500768,0.907834,0.946237,0.038778,0.276238
cloneatt,15p,0.756884,0.871023,0.75868,0.0989855,0.079441,0.0367804,1.00483,0.812889,0.755918,0.447005,0.872504,0.935484,0.0585804,0.02196
cloneatt,15q,0.125989,0.360724,0.130121,0.179093,0.142738,-0.0222466,0.950271,0.757668,0.11011,0.514593,0.912442,0.963134,0.0341872,0.425945
cloneatt,16p,0.397806,0.637424,0.406309,0.158587,0.128124,-0.110868,1.03646,0.840062,0.409204,0.447005,0.870968,0.93702,0.0701247,0.00311371
cloneatt,16q,0.0644097,0.258819,0.0669873,0.19224,0.155733,0.0142553,0.990066,0.802685,0.0579835,0.482335,0.903226,0.950845,0.0242657,0.833671
cloneatt,17p,0.663774,0.81488,0.66403,0.117012,0.0933605,-0.0105151,0.962347,0.767118,0.614756,0.480799,0.894009,0.955453,0.0279165,0.684877
cloneatt,17q,0.496358,0.70802,0.501292,0.141491,0.114636,0.0977659,1.0042,0.814889,0.493242,0.470046,0.900154,0.952381,0.0608657,0.0153383
cloneatt,18p,0.578887,0.767078,0.588409,0.128376,0.101131,0.131674,0.992992,0.784945,0.566555,0.482335,0.892473,0.946237,0.0598337,0.0180677
cloneatt,18q,0.140385,0.383845,0.147337,0.172578,0.136924,0.039773,0.951568,0.75396,0.167837,0.508449,0.924731,0.961598,0.029483,0.617217
cloneatt,19p,0.751214,0.86771,0.75292,0.10128,0.0797047,-0.0945838,1.05141,0.829595,0.754252,0.451613,0.857143,0.93702,0.0751734,0.00118693
cloneatt,19q,0.169053,0.414167,0.171534,0.184325,0.150505,0.0496865,1.01607,0.830118,0.173953,0.460829,0.894009,0.941628,0.0493242,0.081637
cloneatt,20p,0.60957,0.782837,0.612833,0.126683,0.0997903,0.0333752,0.942942,0.742082,0.53478,0.457757,0.907834,0.960061,0.045725,0.127979
cloneatt,20q,0.214527,0.465375,0.216574,0.169558,0.138396,-0.0178932,0.985823,0.80259,0.248422,0.471582,0.90937,0.963134,0.0276032,0.698349
cloneatt,21p,0.813688,0.902823,0.81509,0.0830584,0.0649821,-0.0457356,1.06276,0.826982,0.83937,0.420891,0.821813,0.913978,0.0595572,0.0188689
cloneatt,21q,0.642021,0.801537,0.642462,0.121713,0.0956493,0.00548355,0.921106,0.734243,0.573818,0.502304,0.921659,0.970814,0.023957,0.844895
cloneatt,22p,0.813187,0.907698,0.823916,0.0879396,0.069189,-0.223319,0.982467,0.796308,0.805982,0.427035,0.858679,0.932412,0.1163,3.78644e-08
cloneatt,22q,0.723069,0.85077,0.723809,0.106647,0.082952,-0.0507161,1.04309,0.813997,0.733225,0.482335,0.87404,0.924731,0.0476435,0.101139
