model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.82147,0.907112,0.822851,0.0842524,0.0645595,0.0716731,1.0185,0.784441,0.821509,0.486943,0.87404,0.933948,0.0476472,0.101092
armtoken,1q,0.835797,0.914907,0.837055,0.0834548,0.0670533,0.0639577,0.949192,0.76214,0.794728,0.460829,0.907834,0.953917,0.0504171,0.070739
armtoken,2p,0.866324,0.931415,0.867534,0.0741214,0.0571901,-0.0265474,1.07469,0.831766,0.8732,0.442396,0.87404,0.935484,0.0347981,0.403605
armtoken,2q,0.778882,0.883385,0.780368,0.0939906,0.0730239,0.0575386,0.984456,0.766912,0.764224,0.474654,0.87404,0.953917,0.0335016,0.451828
armtoken,3p,0.889938,0.944265,0.891636,0.0693779,0.053747,0.108147,0.992521,0.767115,0.869513,0.483871,0.897081,0.947773,0.0668276,0.0056376
armtoken,3q,0.833951,0.921261,0.848721,0.0795236,0.0611302,0.267305,0.929991,0.749873,0.830931,0.493088,0.890937,0.941628,0.121063,8.56441e-09
armtoken,4p,0.917139,0.9578,0.91738,0.059168,0.0445762,0.0367951,0.951304,0.730414,0.90015,0.479263,0.897081,0.947773,0.0299023,0.599197
armtoken,4q,0.806614,0.901554,0.8128,0.0913231,0.0702503,0.15963,0.920123,0.721013,0.752962,0.519201,0.90937,0.949309,0.0758756,0.00103244
armtoken,5p,0.929839,0.964395,0.930057,0.054137,0.0413627,0.0287954,0.975538,0.746181,0.918264,0.497696,0.890937,0.941628,0.0219832,0.908483
armtoken,5q,0.82876,0.911826,0.831426,0.084017,0.065277,0.0911916,0.973445,0.75948,0.806631,0.491551,0.892473,0.940092,0.0552539,0.036128
armtoken,6p,0.89887,0.948283,0.89924,0.0621182,0.0470381,-0.103999,1.04476,0.794517,0.904119,0.457757,0.872504,0.93702,0.0743754,0.00138856
armtoken,6q,0.854632,0.928127,0.861419,0.0763398,0.0596756,0.183026,0.903178,0.717628,0.815788,0.50384,0.900154,0.961598,0.088826,6.25179e-05
armtoken,7p,0.906407,0.953986,0.91009,0.0614386,0.047312,0.186425,1.01076,0.797527,0.904466,0.480799,0.88172,0.93702,0.0851318,0.000145523
armtoken,7q,0.864635,0.931133,0.867008,0.0712301,0.055212,0.0425843,0.899656,0.696104,0.834953,0.53149,0.913978,0.955453,0.0383154,0.289381
armtoken,8p,0.916112,0.957179,0.916191,0.0575768,0.0431522,0.00672485,1.04485,0.769409,0.914038,0.497696,0.872504,0.943164,0.0265094,0.744748
armtoken,8q,0.860755,0.929781,0.864492,0.072024,0.0570194,0.0931442,0.890022,0.711728,0.833311,0.509985,0.915515,0.97235,0.0638826,0.00935166
armtoken,9p,0.914828,0.957361,0.916541,0.058694,0.0457154,0.106669,0.973838,0.763107,0.903339,0.470046,0.907834,0.955453,0.0543159,0.0413551
armtoken,9q,0.863545,0.934561,0.873404,0.0722324,0.0565967,0.196602,0.903391,0.733955,0.848158,0.488479,0.897081,0.953917,0.101094,2.92224e-06
armtoken,10p,0.922717,0.96075,0.923041,0.0562825,0.0419855,0.0678771,0.992859,0.756741,0.917424,0.488479,0.87404,0.935484,0.042732,0.181173
armtoken,10q,0.871345,0.933988,0.872334,0.0734252,0.0574447,0.0293812,0.91338,0.717348,0.833951,0.509985,0.903226,0.958525,0.0379238,0.300851
armtoken,11p,0.907851,0.953155,0.908505,0.0567149,0.0444092,0.0238608,0.972648,0.761407,0.905952,0.442396,0.887865,0.946237,0.0425901,0.184073
armtoken,11q,0.886273,0.942114,0.88758,0.0672797,0.0520295,0.104001,0.91651,0.713181,0.858373,0.548387,0.903226,0.956989,0.0609099,0.0152301
armtoken,12p,0.938939,0.968994,0.93895,0.0506185,0.0378291,-0.0198682,0.961748,0.725619,0.923304,0.514593,0.892473,0.935484,0.0316043,0.527475
armtoken,12q,0.876764,0.938722,0.8812,0.0703128,0.05545,0.159574,0.916804,0.734203,0.851006,0.480799,0.906298,0.955453,0.0812745,0.000338398
armtoken,13p,0.944438,0.972386,0.945534,0.0460761,0.0336444,-0.133354,0.975915,0.740108,0.941298,0.49616,0.884793,0.941628,0.0845384,0.00016612
armtoken,13q,0.883466,0.941777,0.886944,0.0692587,0.0548576,0.14359,0.926567,0.745738,0.858668,0.485407,0.903226,0.96467,0.067164,0.00531327
armtoken,14p,0.933607,0.966474,0.934072,0.0546669,0.0391634,-0.107335,1.0763,0.803187,0.936269,0.46851,0.847926,0.929339,0.0610021,0.0150068
armtoken,14q,0.887528,0.942169,0.887683,0.0701267,0.0525944,-0.0101235,0.960333,0.716686,0.861519,0.500768,0.917051,0.958525,0.018148,0.981945
armtoken,15p,0.945989,0.973077,0.946878,0.0466558,0.0350986,-0.12862,0.921699,0.723381,0.933936,0.480799,0.90169,0.938556,0.0765944,0.000893912
armtoken,15q,0.888148,0.943655,0.890486,0.0640681,0.0500796,0.0786144,0.912091,0.709093,0.867872,0.529954,0.912442,0.956989,0.0547103,0.0390821
armtoken,16p,0.926716,0.963385,0.928111,0.0553226,0.0423983,0.0848924,1.03278,0.807014,0.924178,0.450077,0.860215,0.910906,0.0561892,0.0315014
armtoken,16q,0.926146,0.963503,0.928337,0.0540115,0.0418654,0.1346,0.819178,0.653962,0.891389,0.542243,0.921659,0.973886,0.0778393,0.000694259
armtoken,17p,0.944567,0.972133,0.945042,0.0475114,0.0367688,-0.103073,0.921182,0.72876,0.931523,0.471582,0.910906,0.966206,0.0745155,0.00135101
armtoken,17q,0.904603,0.951529,0.905408,0.0615794,0.0476873,-0.110756,1.01035,0.793427,0.904903,0.474654,0.877112,0.941628,0.0739875,0.00149771
armtoken,18p,0.936247,0.967929,0.936887,0.0499502,0.0367779,-0.124869,0.983836,0.760376,0.935998,0.500768,0.886329,0.940092,0.0687268,0.00401886
armtoken,18q,0.894806,0.946604,0.896059,0.0603713,0.0452135,0.0833392,0.949385,0.728856,0.899228,0.509985,0.918587,0.953917,0.0552208,0.0363025
armtoken,19p,0.938456,0.970501,0.941871,0.0503737,0.0375354,-0.272259,1.07481,0.829227,0.943173,0.459293,0.855607,0.924731,0.109115,3.18384e-07
armtoken,19q,0.915654,0.957677,0.917145,0.0587261,0.0445894,0.143945,1.06888,0.822472,0.92133,0.462366,0.870968,0.935484,0.0872899,8.92218e-05
armtoken,20p,0.924357,0.961888,0.925228,0.055761,0.0394902,-0.112662,1.0165,0.747521,0.925255,0.483871,0.883257,0.946237,0.0709061,0.00269373
armtoken,20q,0.918865,0.959203,0.92007,0.054495,0.0420859,0.102503,0.948373,0.748695,0.914218,0.47619,0.87404,0.941628,0.0586256,0.0218078
armtoken,21p,0.931387,0.965571,0.932328,0.0504042,0.0363698,0.097507,0.993529,0.734879,0.934084,0.479263,0.88172,0.93702,0.0635306,0.00991966
armtoken,21q,0.927798,0.963519,0.928368,0.0546618,0.0415104,-0.0991329,0.920025,0.696945,0.905321,0.516129,0.921659,0.967742,0.065134,0.00756322
