model,nominal,empirical
clonemlp,0,0.000174557
clonemlp,0.01,0.00890239
clonemlp,0.02,0.0183634
clonemlp,0.03,0.0282782
clonemlp,0.04,0.0376344
clonemlp,0.05,0.0475143
clonemlp,0.06,0.0567658
clonemlp,0.07,0.0664712
clonemlp,0.08,0.0760369
clonemlp,0.09,0.0852185
clonemlp,0.1,0.0951334
clonemlp,0.11,0.104315
clonemlp,0.12,0.113706
clonemlp,0.13,0.122818
clonemlp,0.14,0.133152
clonemlp,0.15,0.143171
clonemlp,0.16,0.152493
clonemlp,0.17,0.162407
clonemlp,0.18,0.171729
clonemlp,0.19,0.181015
clonemlp,0.2,0.192257
clonemlp,0.21,0.202556
clonemlp,0.22,0.211528
clonemlp,0.23,0.220989
clonemlp,0.24,0.231462
clonemlp,0.25,0.241167
clonemlp,0.26,0.250873
clonemlp,0.27,0.260962
clonemlp,0.28,0.271296
clonemlp,0.29,0.280233
clonemlp,0.3,0.290357
clonemlp,0.31,0.30104
clonemlp,0.32,0.310955
clonemlp,0.33,0.321045
clonemlp,0.34,0.330226
clonemlp,0.35,0.340281
clonemlp,0.36,0.350684
clonemlp,0.37,0.360145
clonemlp,0.38,0.36992
clonemlp,0.39,0.379556
clonemlp,0.4,0.389575
clonemlp,0.41,0.400712
clonemlp,0.42,0.409929
clonemlp,0.43,0.418831
clonemlp,0.44,0.428746
clonemlp,0.45,0.438032
clonemlp,0.46,0.448157
clonemlp,0.47,0.45856
clonemlp,0.48,0.46837
clonemlp,0.49,0.478495
clonemlp,0.5,0.487886
clonemlp,0.51,0.497312
clonemlp,0.52,0.50796
clonemlp,0.53,0.517665
clonemlp,0.54,0.526952
clonemlp,0.55,0.536936
clonemlp,0.56,0.547095
clonemlp,0.57,0.557429
clonemlp,0.58,0.566506
clonemlp,0.59,0.576177
clonemlp,0.6,0.586056
clonemlp,0.61,0.595657
clonemlp,0.62,0.605607
clonemlp,0.63,0.615312
clonemlp,0.64,0.624913
clonemlp,0.65,0.634409
clonemlp,0.66,0.644079
clonemlp,0.67,0.653261
clonemlp,0.68,0.66321
clonemlp,0.69,0.672846
clonemlp,0.7,0.682796
clonemlp,0.71,0.692641
clonemlp,0.72,0.702451
clonemlp,0.73,0.712296
clonemlp,0.74,0.723014
clonemlp,0.75,0.733277
clonemlp,0.76,0.743088
clonemlp,0.77,0.752967
clonemlp,0.78,0.763581
clonemlp,0.79,0.773495
clonemlp,0.8,0.785156
clonemlp,0.81,0.794826
clonemlp,0.82,0.805369
clonemlp,0.83,0.815668
clonemlp,0.84,0.827852
clonemlp,0.85,0.837802
clonemlp,0.86,0.847961
clonemlp,0.87,0.857352
clonemlp,0.88,0.868035
clonemlp,0.89,0.880603
clonemlp,0.9,0.891635
clonemlp,0.91,0.902947
clonemlp,0.92,0.913141
clonemlp,0.93,0.924766
clonemlp,0.94,0.936042
clonemlp,0.95,0.947284
clonemlp,0.96,0.958246
clonemlp,0.97,0.970395
clonemlp,0.98,0.982335
clonemlp,0.99,0.99204
clonemlp,1,1
