model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.823423,0.907907,0.824296,0.0837903,0.0638004,-0.0744105,0.994924,0.765462,0.817051,0.479263,0.880184,0.943164,0.0495472,0.079305
armtoken,1q,0.831639,0.912447,0.83256,0.0845047,0.0662938,0.0574286,0.938711,0.739308,0.787745,0.483871,0.900154,0.953917,0.0454089,0.132914
armtoken,2p,0.868168,0.932034,0.868688,0.0736084,0.0562601,-0.0820933,1.03468,0.786054,0.856976,0.463902,0.894009,0.946237,0.0478499,0.0985526
armtoken,2q,0.779652,0.883247,0.780125,0.0938267,0.0727186,-0.0150936,0.982724,0.758587,0.759699,0.490015,0.887865,0.946237,0.0391502,0.265977
armtoken,3p,0.888305,0.942745,0.888769,0.0698905,0.05436,0.0447352,0.936638,0.743232,0.858013,0.47619,0.910906,0.961598,0.0450891,0.138063
armtoken,3q,0.85038,0.926229,0.857901,0.075487,0.057824,0.178213,0.864536,0.67867,0.811615,0.491551,0.917051,0.952381,0.0695663,0.00344998
armtoken,4p,0.919685,0.959055,0.919787,0.0582521,0.0444514,0.0286845,0.937894,0.728114,0.897635,0.477727,0.894009,0.952381,0.0358735,0.366032
armtoken,4q,0.800684,0.896097,0.802991,0.0927127,0.0709811,0.0978003,0.960692,0.737829,0.754091,0.508449,0.886329,0.946237,0.0476978,0.100452
armtoken,5p,0.918904,0.959528,0.920694,0.0582031,0.0445329,0.116354,0.994992,0.774216,0.909824,0.463902,0.87404,0.938556,0.0638955,0.00933141
armtoken,5q,0.833024,0.913914,0.835238,0.0829643,0.0637808,0.0494479,0.902403,0.697774,0.783574,0.53149,0.90937,0.966206,0.0397483,0.250079
armtoken,6p,0.908232,0.953656,0.909459,0.0591731,0.0447037,0.0156302,0.971623,0.752372,0.903346,0.46851,0.906298,0.943164,0.0232041,0.870923
armtoken,6q,0.859746,0.928749,0.862574,0.074985,0.0584188,0.107436,0.871732,0.687498,0.810531,0.505376,0.923195,0.973886,0.0484571,0.0912613
armtoken,7p,0.902617,0.95245,0.90716,0.0626701,0.0489937,0.1929,0.998234,0.812488,0.904071,0.453149,0.878648,0.946237,0.102282,2.12657e-06
armtoken,7q,0.866114,0.930837,0.866458,0.07084,0.0545886,-0.0210911,0.898658,0.691578,0.836846,0.537634,0.907834,0.958525,0.0437659,0.161112
armtoken,8p,0.915748,0.957853,0.917483,0.0577016,0.0438637,0.11414,1.00399,0.767932,0.911118,0.477727,0.887865,0.93702,0.0770155,0.000821032
armtoken,8q,0.857567,0.927388,0.860049,0.0728438,0.0572081,0.0998392,0.87079,0.692248,0.822688,0.509985,0.923195,0.966206,0.0528185,0.0510649
armtoken,9p,0.909113,0.9546,0.911261,0.0606312,0.0473202,0.12662,1.05875,0.844102,0.913196,0.41321,0.850998,0.913978,0.0893079,5.58454e-05
armtoken,9q,0.880104,0.938988,0.881699,0.0677081,0.0529599,0.0889441,0.850313,0.6775,0.842644,0.508449,0.933948,0.969278,0.0425247,0.185422
armtoken,10p,0.92039,0.95988,0.92137,0.0571237,0.0428875,-0.0864842,0.912945,0.719915,0.905694,0.513057,0.90937,0.960061,0.0527263,0.051722
armtoken,10q,0.870998,0.933485,0.871394,0.0735242,0.0562595,0.0262119,0.888006,0.683012,0.816944,0.522273,0.915515,0.969278,0.0281478,0.674903
armtoken,11p,0.914325,0.956395,0.914692,0.0546864,0.0433797,0.0433069,0.93401,0.744604,0.906239,0.466974,0.907834,0.952381,0.0404753,0.231713
armtoken,11q,0.884287,0.941238,0.885928,0.0678646,0.052539,0.0913127,0.926629,0.721205,0.857739,0.505376,0.898618,0.953917,0.0442838,0.15175
armtoken,12p,0.935437,0.967419,0.9359,0.0520501,0.0392405,-0.026682,0.943116,0.717075,0.918951,0.50384,0.895545,0.949309,0.0247798,0.814343
armtoken,12q,0.878984,0.937984,0.879815,0.0696764,0.0554044,0.0775904,0.888125,0.709886,0.841916,0.486943,0.927803,0.969278,0.0439926,0.156959
armtoken,13p,0.940768,0.97048,0.941831,0.0475736,0.0352228,0.117346,0.940054,0.719986,0.930969,0.500768,0.880184,0.941628,0.0677832,0.00476047
armtoken,13q,0.874374,0.941021,0.885521,0.0719099,0.0570407,0.26109,0.89353,0.743128,0.847894,0.470046,0.90169,0.958525,0.121651,7.09944e-09
armtoken,14p,0.930561,0.964919,0.931069,0.0559067,0.0403364,-0.0884463,1.01987,0.76439,0.923806,0.457757,0.841782,0.912442,0.0740262,0.00148647
armtoken,14q,0.877798,0.944067,0.891262,0.0730974,0.0554704,0.297392,0.939546,0.754095,0.854042,0.488479,0.90937,0.952381,0.142426,5.23185e-12
armtoken,15p,0.945377,0.972504,0.945764,0.0469193,0.0353678,-0.0613347,0.876865,0.68486,0.927857,0.486943,0.900154,0.940092,0.0402385,0.237581
armtoken,15q,0.87891,0.938954,0.881634,0.0666615,0.0514608,0.122912,0.917801,0.71213,0.860916,0.514593,0.900154,0.956989,0.0549747,0.0376198
armtoken,16p,0.928832,0.963791,0.928893,0.0545179,0.0423525,0.0218895,1.02398,0.80908,0.925351,0.422427,0.863287,0.933948,0.0537307,0.0449393
armtoken,16q,0.925858,0.962582,0.926563,0.0541167,0.0416547,0.080961,0.822882,0.652055,0.894101,0.526882,0.940092,0.976959,0.0548632,0.0382304
armtoken,17p,0.938993,0.969023,0.939006,0.0498429,0.037813,0.00433153,0.908108,0.701083,0.921279,0.485407,0.900154,0.946237,0.0206185,0.942631
armtoken,17q,0.915132,0.95671,0.915293,0.0580818,0.0441597,-0.0201686,0.917022,0.712898,0.90011,0.506912,0.898618,0.960061,0.0348663,0.401156
armtoken,18p,0.930811,0.965678,0.932534,0.0520359,0.0383369,0.146042,0.980821,0.76529,0.931491,0.450077,0.880184,0.943164,0.0899189,4.83579e-05
armtoken,18q,0.892829,0.947284,0.897348,0.0609358,0.0458785,0.207582,0.980787,0.762819,0.90245,0.463902,0.897081,0.940092,0.103536,1.5146e-06
armtoken,19p,0.939198,0.969675,0.94027,0.0500692,0.0386442,-0.00503185,1.00843,0.78545,0.935236,0.44086,0.878648,0.938556,0.044481,0.148302
armtoken,19q,0.920524,0.95991,0.921426,0.0570052,0.0428615,0.11432,1.00563,0.7775,0.92162,0.483871,0.895545,0.9447,0.0672552,0.0052283
armtoken,20p,0.926847,0.962769,0.926924,0.0548357,0.0390832,-0.0175782,1.00519,0.743062,0.926693,0.466974,0.90937,0.952381,0.0369009,0.332294
armtoken,20q,0.921551,0.960206,0.921995,0.0535856,0.0411212,-0.0727642,0.924004,0.724619,0.913466,0.497696,0.904762,0.938556,0.0514482,0.0616158
armtoken,21p,0.931415,0.965114,0.931445,0.050394,0.0364281,0.0175347,0.955624,0.7123,0.929633,0.494624,0.886329,0.947773,0.0432591,0.170713
armtoken,21q,0.929565,0.964325,0.929923,0.0539887,0.0416503,0.0641426,0.910995,0.715728,0.912068,0.474654,0.910906,0.961598,0.0529438,0.0501828
armtoken,22p,0.94442,0.971828,0.944451,0.0479667,0.0359532,0.035595,0.924938,0.714422,0.931014,0.47619,0.880184,0.940092,0.0477006,0.100417
armtoken,22q,0.929018,0.965333,0.931867,0.0539932,0.0412019,0.178805,0.883153,0.690898,0.903684,0.533026,0.907834,0.960061,0.0849816,0.000150495
