model,nominal,empirical
cloneatt,0,0.000244379
cloneatt,0.01,0.00932132
cloneatt,0.02,0.0194456
cloneatt,0.03,0.0296048
cloneatt,0.04,0.0396942
cloneatt,0.05,0.049225
cloneatt,0.06,0.0587208
cloneatt,0.07,0.0691942
cloneatt,0.08,0.0793534
cloneatt,0.09,0.0894428
cloneatt,0.1,0.0992878
cloneatt,0.11,0.109342
cloneatt,0.12,0.118768
cloneatt,0.13,0.129346
cloneatt,0.14,0.139785
cloneatt,0.15,0.14977
cloneatt,0.16,0.15951
cloneatt,0.17,0.169809
cloneatt,0.18,0.180177
cloneatt,0.19,0.189848
cloneatt,0.2,0.198855
cloneatt,0.21,0.208456
cloneatt,0.22,0.21865
cloneatt,0.23,0.22846
cloneatt,0.24,0.239247
cloneatt,0.25,0.249616
cloneatt,0.26,0.260124
cloneatt,0.27,0.270283
cloneatt,0.28,0.280373
cloneatt,0.29,0.290323
cloneatt,0.3,0.299574
cloneatt,0.31,0.310327
cloneatt,0.32,0.320346
cloneatt,0.33,0.330121
cloneatt,0.34,0.339792
cloneatt,0.35,0.349777
cloneatt,0.36,0.359587
cloneatt,0.37,0.369362
cloneatt,0.38,0.379277
cloneatt,0.39,0.388842
cloneatt,0.4,0.39956
cloneatt,0.41,0.409824
cloneatt,0.42,0.419285
cloneatt,0.43,0.4292
cloneatt,0.44,0.439568
cloneatt,0.45,0.44889
cloneatt,0.46,0.459189
cloneatt,0.47,0.47043
cloneatt,0.48,0.479402
cloneatt,0.49,0.489177
cloneatt,0.5,0.499651
cloneatt,0.51,0.510089
cloneatt,0.52,0.519446
cloneatt,0.53,0.528872
cloneatt,0.54,0.538263
cloneatt,0.55,0.549365
cloneatt,0.56,0.559629
cloneatt,0.57,0.570311
cloneatt,0.58,0.58089
cloneatt,0.59,0.590001
cloneatt,0.6,0.599881
cloneatt,0.61,0.609901
cloneatt,0.62,0.61992
cloneatt,0.63,0.62994
cloneatt,0.64,0.639191
cloneatt,0.65,0.649874
cloneatt,0.66,0.659754
cloneatt,0.67,0.669844
cloneatt,0.68,0.679933
cloneatt,0.69,0.689499
cloneatt,0.7,0.699029
cloneatt,0.71,0.708456
cloneatt,0.72,0.71858
cloneatt,0.73,0.729717
cloneatt,0.74,0.739946
cloneatt,0.75,0.75
cloneatt,0.76,0.760369
cloneatt,0.77,0.769341
cloneatt,0.78,0.778592
cloneatt,0.79,0.788682
cloneatt,0.8,0.799574
cloneatt,0.81,0.809489
cloneatt,0.82,0.820311
cloneatt,0.83,0.830645
cloneatt,0.84,0.840839
cloneatt,0.85,0.851278
cloneatt,0.86,0.861996
cloneatt,0.87,0.871945
cloneatt,0.88,0.881092
cloneatt,0.89,0.891635
cloneatt,0.9,0.901341
cloneatt,0.91,0.911605
cloneatt,0.92,0.921659
cloneatt,0.93,0.932167
cloneatt,0.94,0.942082
cloneatt,0.95,0.952102
cloneatt,0.96,0.96275
cloneatt,0.97,0.972245
cloneatt,0.98,0.982684
cloneatt,0.99,0.991726
cloneatt,1,1
