model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.14003,0.376261,0.141572,0.184914,0.146883,0.0412832,1.01332,0.805412,0.164057,0.477727,0.875576,0.943164,0.045232,0.135744
cloneatt,1q,0.287309,0.539853,0.291441,0.173865,0.139121,0.053808,0.978504,0.785542,0.214259,0.477727,0.895545,0.953917,0.0517035,0.0595196
cloneatt,2p,0.348336,0.59296,0.351601,0.163655,0.129957,0.0680582,1.02999,0.814974,0.352639,0.473118,0.890937,0.9447,0.047285,0.105764
cloneatt,2q,0.2457,0.503567,0.25358,0.173598,0.136177,-0.0967917,0.982262,0.774173,0.222631,0.511521,0.890937,0.943164,0.051897,0.0579715
cloneatt,3p,0.415456,0.646868,0.418438,0.159886,0.12773,-0.0437197,1.00906,0.808043,0.368935,0.451613,0.878648,0.949309,0.0541601,0.0422838
cloneatt,3q,0.299751,0.553234,0.306068,0.163307,0.127793,0.0859864,0.97236,0.761611,0.286862,0.497696,0.894009,0.943164,0.0552134,0.0363413
cloneatt,4p,0.411067,0.651643,0.424639,0.157741,0.126978,0.0547931,0.908383,0.730104,0.231932,0.522273,0.910906,0.950845,0.0423653,0.188743
cloneatt,4q,0.295666,0.548656,0.301024,0.174284,0.13609,0.0589429,1.00269,0.782901,0.236355,0.483871,0.884793,0.946237,0.050794,0.0672794
cloneatt,5p,0.430704,0.665499,0.442889,0.154211,0.124823,0.133005,0.965974,0.785844,0.360829,0.463902,0.894009,0.950845,0.0675031,0.00500366
cloneatt,5q,0.18232,0.435664,0.189803,0.183593,0.14627,0.0895958,1.04156,0.832249,0.22495,0.456221,0.892473,0.9447,0.0706085,0.00284711
cloneatt,6p,0.509902,0.717874,0.515343,0.136748,0.10897,0.0871191,1.08487,0.847755,0.568733,0.443932,0.866359,0.926267,0.0632597,0.0103779
cloneatt,6q,0.299908,0.55606,0.309203,0.167531,0.133735,-0.074107,0.939847,0.750418,0.196849,0.499232,0.906298,0.966206,0.0578442,0.0245797
cloneatt,7p,0.180525,0.432704,0.187232,0.181797,0.146206,-0.0859364,0.987687,0.796407,0.148924,0.483871,0.889401,0.933948,0.0498513,0.0762159
cloneatt,7q,0.348974,0.598584,0.358303,0.15621,0.12456,0.102657,0.92945,0.744927,0.296521,0.506912,0.917051,0.96467,0.0572462,0.0269076
cloneatt,8p,0.308251,0.559751,0.313321,0.165337,0.132913,-0.0449372,0.996102,0.797062,0.288956,0.47619,0.895545,0.956989,0.0323286,0.49796
cloneatt,8q,0.181384,0.427178,0.182481,0.174633,0.13916,0.0338281,0.941012,0.751076,0.139151,0.506912,0.904762,0.958525,0.0332979,0.459676
cloneatt,9p,0.182538,0.428486,0.1836,0.181836,0.14446,-0.0126972,0.973319,0.771627,0.115804,0.534562,0.890937,0.93702,0.0309961,0.552774
cloneatt,9q,0.16483,0.407446,0.166013,0.1787,0.140355,0.0229257,0.920201,0.722696,0.0486996,0.545315,0.917051,0.963134,0.0326594,0.484729
cloneatt,10p,0.53281,0.73167,0.535342,0.138382,0.110036,0.056395,0.954182,0.758179,0.459266,0.493088,0.897081,0.947773,0.0403205,0.235536
cloneatt,10q,0.326515,0.575886,0.331645,0.167995,0.13556,0.0604409,0.945741,0.764757,0.210084,0.494624,0.912442,0.956989,0.0335136,0.451369
cloneatt,11p,0.292004,0.541375,0.293087,0.157205,0.128249,0.00799314,0.96645,0.786639,0.324969,0.480799,0.903226,0.956989,0.0462207,0.12054
cloneatt,11q,0.505767,0.714825,0.510975,0.140255,0.111716,0.10313,0.991848,0.788458,0.489586,0.497696,0.906298,0.949309,0.0774891,0.000745721
cloneatt,12p,0.377919,0.636819,0.405538,0.161567,0.133019,0.10322,0.960895,0.792621,0.283386,0.480799,0.884793,0.943164,0.0508935,0.0663903
cloneatt,12q,0.154826,0.408863,0.167169,0.184136,0.148868,0.120745,1.00986,0.821238,0.172351,0.474654,0.889401,0.947773,0.0860874,0.000117358
cloneatt,13p,0.459927,0.679304,0.461454,0.143653,0.116569,0.0446231,0.972678,0.791305,0.449129,0.497696,0.897081,0.949309,0.0243228,0.831561
cloneatt,13q,0.396622,0.632099,0.39955,0.157595,0.124959,0.0728674,0.982638,0.7791,0.351017,0.493088,0.903226,0.953917,0.0480157,0.0965144
cloneatt,14p,0.728525,0.861205,0.741674,0.110542,0.0853248,-0.224948,1.04256,0.822521,0.718822,0.46851,0.858679,0.929339,0.116372,3.7041e-08
cloneatt,14q,0.224201,0.475735,0.226323,0.184177,0.145166,0.0290118,1.01165,0.798751,0.167138,0.488479,0.889401,0.941628,0.0480452,0.0961558
cloneatt,15p,0.736003,0.86498,0.748191,0.103149,0.080377,-0.207357,1.01244,0.814628,0.754447,0.450077,0.854071,0.926267,0.09616,1.05043e-05
cloneatt,15q,0.112658,0.354522,0.125686,0.180454,0.144647,-0.0443459,0.957896,0.767686,0.104579,0.520737,0.90937,0.953917,0.0442875,0.151685
cloneatt,16p,0.55786,0.746965,0.557957,0.135887,0.109108,0.0209083,1.03399,0.827336,0.551705,0.459293,0.872504,0.938556,0.044915,0.140935
cloneatt,16q,0.120722,0.351273,0.123392,0.186365,0.151302,0.0260408,1.00158,0.813304,0.132563,0.485407,0.892473,0.956989,0.0279036,0.685433
cloneatt,17p,0.675946,0.822627,0.676715,0.114874,0.0921338,0.0129964,0.911613,0.734298,0.588776,0.497696,0.90937,0.960061,0.024837,0.81215
cloneatt,17q,0.38623,0.623515,0.388771,0.156197,0.128356,0.0630022,0.991924,0.815175,0.369957,0.460829,0.894009,0.958525,0.0508152,0.0670892
cloneatt,18p,0.736836,0.859248,0.738308,0.101484,0.0802776,-0.0666225,1.05789,0.824973,0.749115,0.46851,0.880184,0.93702,0.0510409,0.0650915
cloneatt,18q,0.390975,0.628085,0.394491,0.145262,0.113205,0.0373254,0.964777,0.751774,0.428341,0.52381,0.918587,0.961598,0.0307694,0.562307
cloneatt,19p,0.76054,0.879381,0.773311,0.0993638,0.0777905,0.211748,0.991264,0.801575,0.754046,0.466974,0.895545,0.946237,0.0986803,5.50802e-06
cloneatt,19q,0.444397,0.670279,0.449273,0.150723,0.122253,0.0648516,0.982068,0.800565,0.414033,0.483871,0.900154,0.952381,0.0419893,0.196756
cloneatt,20p,0.7245,0.85903,0.737932,0.106416,0.0833238,0.217567,0.998933,0.787821,0.703915,0.46851,0.861751,0.927803,0.11363,8.48587e-08
cloneatt,20q,0.223162,0.482366,0.232677,0.168624,0.137494,0.0978288,0.968559,0.792584,0.241996,0.459293,0.915515,0.963134,0.0648492,0.00794034
cloneatt,21p,0.806116,0.89808,0.806548,0.0847294,0.0661763,0.0282995,1.02496,0.800557,0.825358,0.431644,0.847926,0.921659,0.0567449,0.0290069
cloneatt,21q,0.651583,0.807948,0.652779,0.120076,0.0949574,-0.0107632,0.928887,0.738058,0.578533,0.502304,0.929339,0.970814,0.0237607,0.851871
cloneatt,22p,0.774189,0.894315,0.799799,0.0966837,0.0762022,0.329897,0.944873,0.791846,0.759947,0.447005,0.877112,0.924731,0.158599,8.68774e-15
cloneatt,22q,0.616113,0.785531,0.617058,0.125564,0.0973638,-0.0311556,0.969319,0.754184,0.573268,0.52381,0.921659,0.952381,0.0424215,0.187567
