model,nominal,empirical
cloneatt,0.84,0.857911
cloneatt,0.85,0.867826
cloneatt,0.86,0.877601
cloneatt,0.87,0.886608
cloneatt,0.88,0.896278
cloneatt,0.89,0.905984
cloneatt,0.9,0.914851
cloneatt,0.91,0.924836
cloneatt,0.92,0.934227
cloneatt,0.93,0.94306
cloneatt,0.94,0.953044
cloneatt,0.95,0.962575
cloneatt,0.96,0.971233
cloneatt,0.97,0.979367
cloneatt,0.98,0.987781
cloneatt,0.99,0.995601
cloneatt,1,1
dominantclone,0,6.42921e-05
dominantclone,0.01,0.00922592
dominantclone,0.02,0.0193519
dominantclone,0.03,0.0293172
dominantclone,0.04,0.0385753
dominantclone,0.05,0.0492799
dominantclone,0.06,0.0590202
dominantclone,0.07,0.068889
dominantclone,0.08,0.0788543
dominantclone,0.09,0.0897197
dominantclone,0.1,0.0996207
dominantclone,0.11,0.109586
dominantclone,0.12,0.119262
dominantclone,0.13,0.129388
dominantclone,0.14,0.139
dominantclone,0.15,0.148868
dominantclone,0.16,0.158962
dominantclone,0.17,0.168638
dominantclone,0.18,0.178957
dominantclone,0.19,0.189276
dominantclone,0.2,0.199434
dominantclone,0.21,0.20956
dominantclone,0.22,0.220297
dominantclone,0.23,0.229877
dominantclone,0.24,0.239135
dominantclone,0.25,0.248746
dominantclone,0.26,0.258904
dominantclone,0.27,0.26858
dominantclone,0.28,0.278289
dominantclone,0.29,0.289122
dominantclone,0.3,0.298476
dominantclone,0.31,0.308024
dominantclone,0.32,0.317282
dominantclone,0.33,0.327118
dominantclone,0.34,0.337148
dominantclone,0.35,0.347017
dominantclone,0.36,0.356629
dominantclone,0.37,0.36714
dominantclone,0.38,0.376881
dominantclone,0.39,0.386878
dominantclone,0.4,0.396297
dominantclone,0.41,0.405233
dominantclone,0.42,0.41597
dominantclone,0.43,0.424842
dominantclone,0.44,0.434808
dominantclone,0.45,0.445416
dominantclone,0.46,0.455156
dominantclone,0.47,0.465443
dominantclone,0.48,0.475408
dominantclone,0.49,0.486563
dominantclone,0.5,0.496464
dominantclone,0.51,0.506204
dominantclone,0.52,0.517037
dominantclone,0.53,0.526328
dominantclone,0.54,0.537289
