model,nominal,empirical
cloneatt,0,0.000279291
cloneatt,0.01,0.00960061
cloneatt,0.02,0.0191663
cloneatt,0.03,0.0284527
cloneatt,0.04,0.0368314
cloneatt,0.05,0.0453847
cloneatt,0.06,0.0540427
cloneatt,0.07,0.0632593
cloneatt,0.08,0.0726854
cloneatt,0.09,0.0820067
cloneatt,0.1,0.0911186
cloneatt,0.11,0.0990085
cloneatt,0.12,0.108085
cloneatt,0.13,0.117581
cloneatt,0.14,0.126798
cloneatt,0.15,0.136259
cloneatt,0.16,0.144638
cloneatt,0.17,0.154343
cloneatt,0.18,0.163699
cloneatt,0.19,0.173439
cloneatt,0.2,0.182481
cloneatt,0.21,0.191593
cloneatt,0.22,0.2006
cloneatt,0.23,0.209573
cloneatt,0.24,0.218405
cloneatt,0.25,0.228355
cloneatt,0.26,0.236978
cloneatt,0.27,0.247102
cloneatt,0.28,0.256424
cloneatt,0.29,0.265431
cloneatt,0.3,0.274962
cloneatt,0.31,0.284388
cloneatt,0.32,0.295036
cloneatt,0.33,0.304881
cloneatt,0.34,0.314481
cloneatt,0.35,0.324152
cloneatt,0.36,0.333752
cloneatt,0.37,0.343562
cloneatt,0.38,0.353931
cloneatt,0.39,0.364125
cloneatt,0.4,0.373551
cloneatt,0.41,0.382558
cloneatt,0.42,0.392927
cloneatt,0.43,0.40176
cloneatt,0.44,0.411884
cloneatt,0.45,0.422183
cloneatt,0.46,0.430631
cloneatt,0.47,0.441
cloneatt,0.48,0.45088
cloneatt,0.49,0.461074
cloneatt,0.5,0.470884
cloneatt,0.51,0.481322
cloneatt,0.52,0.491551
cloneatt,0.53,0.500978
cloneatt,0.54,0.511381
cloneatt,0.55,0.520807
cloneatt,0.56,0.530478
cloneatt,0.57,0.540742
cloneatt,0.58,0.55104
cloneatt,0.59,0.560955
cloneatt,0.6,0.571184
cloneatt,0.61,0.580575
cloneatt,0.62,0.590176
cloneatt,0.63,0.600196
cloneatt,0.64,0.609726
cloneatt,0.65,0.619222
cloneatt,0.66,0.629207
cloneatt,0.67,0.639226
cloneatt,0.68,0.648303
cloneatt,0.69,0.657694
cloneatt,0.7,0.668307
cloneatt,0.71,0.678397
cloneatt,0.72,0.689813
cloneatt,0.73,0.70074
cloneatt,0.74,0.710969
cloneatt,0.75,0.720011
cloneatt,0.76,0.730519
cloneatt,0.77,0.740574
cloneatt,0.78,0.75213
cloneatt,0.79,0.762882
cloneatt,0.8,0.77381
cloneatt,0.81,0.78334
cloneatt,0.82,0.793779
cloneatt,0.83,0.805893
cloneatt,0.84,0.815773
cloneatt,0.85,0.827852
cloneatt,0.86,0.839198
cloneatt,0.87,0.850614
cloneatt,0.88,0.862065
cloneatt,0.89,0.873586
cloneatt,0.9,0.884094
cloneatt,0.91,0.895231
cloneatt,0.92,0.906822
cloneatt,0.93,0.918971
cloneatt,0.94,0.929863
cloneatt,0.95,0.942361
cloneatt,0.96,0.955139
cloneatt,0.97,0.966939
cloneatt,0.98,0.978669
cloneatt,0.99,0.99019
cloneatt,1,1
