Chromosome_Arm,R2,Pearson_r,R2_shuffled_labels
chr1p,0.7812405652567986,0.8856736479577884,0.010840623839509456
chr1q,0.7492159291581705,0.8698998745512787,-0.006345801633999892
chr2p,0.7813545662539104,0.8846374927041102,0.0064550749136098595
chr2q,0.6962813582214598,0.8371036308854005,0.09757577921517402
chr3p,0.7583417102988206,0.8709436214429948,0.06076294219903977
chr3q,0.750566220434364,0.8682088941060462,0.060219415313948144
chr4p,0.8528336738916309,0.9247524046122509,0.023846192820274226
chr4q,0.716336991356542,0.8472214748810303,0.03622341635503412
chr5p,0.8207505566242821,0.907079706912528,-0.04676267561473546
chr5q,0.7406190624652551,0.8616309599117329,-0.027308416148881243
chr6p,0.8314886523719921,0.9162899627523745,0.0474506078676441
chr6q,0.7374715105695993,0.8599922642479103,0.013611395379411029
chr7p,0.8335566043852112,0.9148964028891575,-0.09238538936357132
chr7q,0.7606370580739157,0.8749692688283911,-0.11987812806953535
chr8p,0.8438047348321343,0.9195282600977935,0.06129602497478204
chr8q,0.6745903677898403,0.8222473776635135,-0.011723682105131639
chr9p,0.7584829034398045,0.8789480987621823,-0.215477470749329
chr9q,0.8139614949730967,0.904613811886812,-0.04752757399003271
chr10p,0.8386488908536021,0.9161565047166723,-0.02382710879730121
chr10q,0.7713234290852018,0.8812060403301255,-0.13496041156868777
chr11p,0.8009253111962348,0.8952397177079479,0.020697215743987085
chr11q,0.7483846932733893,0.8669225677707659,-0.07953194802941632
chr12p,0.7964510673957688,0.893811120898602,-0.07498687639329993
chr12q,0.7271305949998013,0.8588495214560228,0.10090738609283623
chr13p,0.811493960853531,0.9029632680931811,-0.023096077983547625
chr13q,0.6670148972453116,0.8184815195687623,-0.02424501783826849
chr14p,0.8471253548650699,0.924551634198657,0.03400719161652699
chr14q,0.7183389824770163,0.8522569964535158,-0.05130190722425221
chr15p,0.87044981592054,0.933171544381107,-0.05174868626470541
chr15q,0.7671608025711567,0.876024388955064,-0.026946941093191734
chr16p,0.7416877442177947,0.8675886129704083,-0.022723505450546355
chr16q,0.8295032571383748,0.911077383068029,0.07205252449744914
chr17p,0.8343561885863632,0.9150429696149588,-0.02693016866123754
chr17q,0.8194778601235342,0.9064201249041496,-0.051575866691572214
chr18p,0.8188959710147771,0.9068719540977093,-0.016119801955776225
chr18q,0.8093948455462356,0.9040981022123669,0.031306307754846
chr19p,0.7940242292385196,0.8932613205242408,-0.10042937709843391
chr19q,0.8063625171504996,0.9013037489976173,0.007951244783539813
chr20p,0.8356582811578557,0.9142000693273914,-0.01784458793206367
chr20q,0.7813493301436678,0.8872752375676355,0.004834363568510636
chr21p,0.8351795084302698,0.9153930747717381,-0.01169855922869556
chr21q,0.8068482886010331,0.8991323751179239,-0.09624721373731848
chr22p,0.8296423984586798,0.9109753859257225,-0.024151363348375865
chr22q,0.7711833897339135,0.8798810480378326,-0.10653333820889377
