model,alpha,ecp,ecp_lo,ecp_hi
clonemlp,0,0,0,0
clonemlp,0.0204082,0.0291859,0.0199693,0.0445469
clonemlp,0.0408163,0.0552995,0.0399002,0.0737327
clonemlp,0.0612245,0.0798771,0.0583717,0.0983487
clonemlp,0.0816327,0.0967742,0.0736943,0.118318
clonemlp,0.102041,0.130568,0.102919,0.15672
clonemlp,0.122449,0.15361,0.127496,0.182834
clonemlp,0.142857,0.18894,0.159754,0.221237
clonemlp,0.163265,0.211982,0.181221,0.244278
clonemlp,0.183673,0.238095,0.207335,0.271928
clonemlp,0.204082,0.259601,0.225806,0.293433
clonemlp,0.22449,0.290323,0.26106,0.322734
clonemlp,0.244898,0.319508,0.288786,0.359485
clonemlp,0.265306,0.35023,0.319355,0.385599
clonemlp,0.285714,0.367127,0.334869,0.402535
clonemlp,0.306122,0.384025,0.347158,0.417819
clonemlp,0.326531,0.394777,0.357911,0.42861
clonemlp,0.346939,0.425499,0.383986,0.465476
clonemlp,0.367347,0.450077,0.407028,0.487058
clonemlp,0.387755,0.471582,0.436137,0.510023
clonemlp,0.408163,0.493088,0.456144,0.533065
clonemlp,0.428571,0.511521,0.474654,0.550038
clonemlp,0.44898,0.549923,0.511521,0.586828
clonemlp,0.469388,0.569892,0.529916,0.609869
clonemlp,0.489796,0.59447,0.562174,0.632911
clonemlp,0.510204,0.612903,0.579109,0.64831
clonemlp,0.530612,0.626728,0.59447,0.662097
clonemlp,0.55102,0.642089,0.609831,0.677419
clonemlp,0.571429,0.662058,0.631336,0.698963
clonemlp,0.591837,0.689708,0.654378,0.723541
clonemlp,0.612245,0.706605,0.6697,0.73894
clonemlp,0.632653,0.715822,0.680492,0.75119
clonemlp,0.653061,0.734255,0.700461,0.76659
clonemlp,0.673469,0.745008,0.71275,0.77884
clonemlp,0.693878,0.763441,0.735753,0.795737
clonemlp,0.714286,0.78341,0.758833,0.815707
clonemlp,0.734694,0.797235,0.769585,0.829531
clonemlp,0.755102,0.804916,0.778725,0.835676
clonemlp,0.77551,0.817204,0.788018,0.844892
clonemlp,0.795918,0.843318,0.820238,0.869432
clonemlp,0.816327,0.854071,0.831029,0.883257
clonemlp,0.836735,0.875576,0.850998,0.90169
clonemlp,0.857143,0.894009,0.872504,0.918587
clonemlp,0.877551,0.900154,0.881644,0.921697
clonemlp,0.897959,0.923195,0.904724,0.941667
clonemlp,0.918367,0.935484,0.917051,0.952381
clonemlp,0.938776,0.955453,0.940054,0.970814
clonemlp,0.959184,0.97235,0.960061,0.984677
clonemlp,0.979592,0.989247,0.980031,0.996928
clonemlp,1,1,1,1
