model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
cloneatt,1p,0.528281,0.729896,0.532748,0.136952,0.108368,-0.0815912,1.05083,0.834159,0.571076,0.447005,0.861751,0.935484,0.054127,0.042484
cloneatt,1q,0.377467,0.61449,0.377598,0.162496,0.129616,0.00234592,1.02665,0.818663,0.369378,0.456221,0.892473,0.9447,0.0338213,0.439652
cloneatt,2p,0.662336,0.819958,0.672332,0.117804,0.0928536,0.161455,1.09205,0.863258,0.703048,0.411674,0.864823,0.935484,0.114398,6.74152e-08
cloneatt,2q,0.400336,0.637708,0.406672,0.154784,0.123819,-0.0940822,0.968047,0.775925,0.356955,0.490015,0.90937,0.949309,0.0589997,0.0205819
cloneatt,3p,0.65745,0.811667,0.658804,0.122395,0.0972784,-0.0714637,1.05799,0.841301,0.661025,0.459293,0.878648,0.947773,0.0574489,0.0260975
cloneatt,3q,0.362551,0.607567,0.369137,0.155812,0.124155,0.081427,1.03343,0.824331,0.42833,0.436252,0.872504,0.940092,0.0673317,0.00515802
cloneatt,4p,0.741562,0.863942,0.746396,0.104494,0.0832723,0.140338,1.04408,0.845973,0.751075,0.456221,0.857143,0.927803,0.0781876,0.000646384
cloneatt,4q,0.416755,0.646729,0.418258,0.158596,0.122795,-0.0497674,1.02311,0.790419,0.387754,0.514593,0.877112,0.9447,0.0289265,0.641243
cloneatt,5p,0.629535,0.793816,0.630144,0.1244,0.0984876,0.0510808,1.10069,0.864232,0.664366,0.450077,0.866359,0.926267,0.0535704,0.0459673
cloneatt,5q,0.159994,0.412895,0.170482,0.186082,0.147996,0.0644974,1.07819,0.856171,0.236872,0.462366,0.869432,0.924731,0.0600751,0.0173929
cloneatt,6p,0.461646,0.679658,0.461935,0.143322,0.113902,0.00291855,1.10634,0.868037,0.556194,0.456221,0.870968,0.915515,0.035527,0.377889
cloneatt,6q,0.614099,0.798401,0.637444,0.124381,0.0992453,0.259605,1.03287,0.84805,0.653394,0.463902,0.872504,0.93702,0.123297,4.17879e-09
cloneatt,7p,0.492042,0.726164,0.527314,0.143131,0.114821,-0.276713,1.11849,0.917005,0.590076,0.428571,0.850998,0.90937,0.132931,1.6278e-10
cloneatt,7q,0.388033,0.62816,0.394586,0.151452,0.119432,-0.0834849,0.916607,0.724941,0.315125,0.542243,0.926267,0.96467,0.0620857,0.012593
cloneatt,8p,0.677484,0.82725,0.684342,0.112894,0.0859573,-0.156201,1.09304,0.839415,0.730732,0.493088,0.870968,0.926267,0.0653901,0.00723795
cloneatt,8q,0.534814,0.73598,0.541667,0.131644,0.10518,0.080108,1.05036,0.842559,0.606548,0.470046,0.895545,0.949309,0.0609302,0.0151807
cloneatt,9p,0.598379,0.779663,0.607874,0.127454,0.0994566,-0.147279,1.01976,0.798324,0.595323,0.509985,0.883257,0.93702,0.0704085,0.00295464
cloneatt,9q,0.201176,0.458388,0.210119,0.174769,0.140376,0.0499492,0.955501,0.768722,0.158581,0.519201,0.907834,0.950845,0.0426564,0.182712
cloneatt,10p,0.758469,0.872683,0.761576,0.0994991,0.0801188,0.142984,1.19973,0.957946,0.812297,0.403994,0.797235,0.889401,0.104269,1.23987e-06
cloneatt,10q,0.574863,0.773414,0.598169,0.133474,0.106472,0.229183,1.04554,0.851345,0.603661,0.453149,0.870968,0.943164,0.122132,6.08514e-09
cloneatt,11p,0.611513,0.789724,0.623665,0.11645,0.0927041,0.177888,1.02446,0.82697,0.676108,0.483871,0.860215,0.930876,0.0895798,5.23868e-05
cloneatt,11q,0.392794,0.641037,0.410928,0.155461,0.125922,-0.181579,1.05009,0.861591,0.461014,0.427035,0.87404,0.943164,0.0999086,3.99684e-06
cloneatt,12p,0.794077,0.892671,0.796862,0.0929567,0.0742056,0.130467,1.09536,0.876581,0.813298,0.43318,0.863287,0.924731,0.0840841,0.000183722
cloneatt,12q,0.347695,0.589952,0.348043,0.161767,0.132678,-0.00442279,0.995461,0.816048,0.334435,0.460829,0.892473,0.946237,0.0437484,0.161436
cloneatt,13p,0.802708,0.898169,0.806707,0.0868248,0.0687748,0.144666,1.19349,0.952567,0.861903,0.425499,0.803379,0.883257,0.0987872,5.35727e-06
