model,nominal,empirical
clonemlp,0,0.000104734
clonemlp,0.01,0.00851836
clonemlp,0.02,0.0189568
clonemlp,0.03,0.0276498
clonemlp,0.04,0.0371806
clonemlp,0.05,0.0467812
clonemlp,0.06,0.0558581
clonemlp,0.07,0.0645161
clonemlp,0.08,0.0742215
clonemlp,0.09,0.0848694
clonemlp,0.1,0.09447
clonemlp,0.11,0.10442
clonemlp,0.12,0.11409
clonemlp,0.13,0.124494
clonemlp,0.14,0.133815
clonemlp,0.15,0.141915
clonemlp,0.16,0.152458
clonemlp,0.17,0.162582
clonemlp,0.18,0.172008
clonemlp,0.19,0.180876
clonemlp,0.2,0.191454
clonemlp,0.21,0.201124
clonemlp,0.22,0.210166
clonemlp,0.23,0.219418
clonemlp,0.24,0.229402
clonemlp,0.25,0.239143
clonemlp,0.26,0.249476
clonemlp,0.27,0.259182
clonemlp,0.28,0.269096
clonemlp,0.29,0.279395
clonemlp,0.3,0.288752
clonemlp,0.31,0.298771
clonemlp,0.32,0.307604
clonemlp,0.33,0.317519
clonemlp,0.34,0.327049
clonemlp,0.35,0.336545
clonemlp,0.36,0.3466
clonemlp,0.37,0.355327
clonemlp,0.38,0.365522
clonemlp,0.39,0.375157
clonemlp,0.4,0.384828
clonemlp,0.41,0.394777
clonemlp,0.42,0.403994
clonemlp,0.43,0.413594
clonemlp,0.44,0.4233
clonemlp,0.45,0.4329
clonemlp,0.46,0.443129
clonemlp,0.47,0.453079
clonemlp,0.48,0.463308
clonemlp,0.49,0.47235
clonemlp,0.5,0.481916
clonemlp,0.51,0.490679
clonemlp,0.52,0.500419
clonemlp,0.53,0.50981
clonemlp,0.54,0.51962
clonemlp,0.55,0.528907
clonemlp,0.56,0.539659
clonemlp,0.57,0.549679
clonemlp,0.58,0.559733
clonemlp,0.59,0.569055
clonemlp,0.6,0.578097
clonemlp,0.61,0.588186
clonemlp,0.62,0.599707
clonemlp,0.63,0.610075
clonemlp,0.64,0.619885
clonemlp,0.65,0.629626
clonemlp,0.66,0.63989
clonemlp,0.67,0.648932
clonemlp,0.68,0.65944
clonemlp,0.69,0.670332
clonemlp,0.7,0.680038
clonemlp,0.71,0.689813
clonemlp,0.72,0.700112
clonemlp,0.73,0.711074
clonemlp,0.74,0.722176
clonemlp,0.75,0.732335
clonemlp,0.76,0.743541
clonemlp,0.77,0.75405
clonemlp,0.78,0.764314
clonemlp,0.79,0.774787
clonemlp,0.8,0.784492
clonemlp,0.81,0.794268
clonemlp,0.82,0.804636
clonemlp,0.83,0.815808
clonemlp,0.84,0.826456
clonemlp,0.85,0.836755
clonemlp,0.86,0.847193
clonemlp,0.87,0.857911
clonemlp,0.88,0.870654
clonemlp,0.89,0.881336
clonemlp,0.9,0.892299
clonemlp,0.91,0.90347
clonemlp,0.92,0.914432
clonemlp,0.93,0.924801
clonemlp,0.94,0.936461
clonemlp,0.95,0.948261
clonemlp,0.96,0.959293
clonemlp,0.97,0.969592
clonemlp,0.98,0.980973
clonemlp,0.99,0.990888
clonemlp,1,1
