model,nominal,empirical
armtoken,0,0.000139645
armtoken,0.01,0.0083089
armtoken,0.02,0.0169669
armtoken,0.03,0.0260788
armtoken,0.04,0.0355746
armtoken,0.05,0.0439184
armtoken,0.06,0.0544617
armtoken,0.07,0.0640972
armtoken,0.08,0.0731741
armtoken,0.09,0.0827398
armtoken,0.1,0.0921659
armtoken,0.11,0.101278
armtoken,0.12,0.110704
armtoken,0.13,0.11999
armtoken,0.14,0.129451
armtoken,0.15,0.138388
armtoken,0.16,0.148827
armtoken,0.17,0.15766
armtoken,0.18,0.166178
armtoken,0.19,0.176023
armtoken,0.2,0.185798
armtoken,0.21,0.195329
armtoken,0.22,0.206116
armtoken,0.23,0.217183
armtoken,0.24,0.226679
armtoken,0.25,0.237327
armtoken,0.26,0.248359
armtoken,0.27,0.257366
armtoken,0.28,0.267665
armtoken,0.29,0.277231
armtoken,0.3,0.286447
armtoken,0.31,0.29514
armtoken,0.32,0.304601
armtoken,0.33,0.315179
armtoken,0.34,0.324675
armtoken,0.35,0.333822
armtoken,0.36,0.343772
armtoken,0.37,0.352674
armtoken,0.38,0.362973
armtoken,0.39,0.372748
armtoken,0.4,0.382768
armtoken,0.41,0.3916
armtoken,0.42,0.401585
armtoken,0.43,0.411255
armtoken,0.44,0.420402
armtoken,0.45,0.430561
armtoken,0.46,0.440371
armtoken,0.47,0.449972
armtoken,0.48,0.459538
armtoken,0.49,0.468824
armtoken,0.5,0.479158
armtoken,0.51,0.489108
armtoken,0.52,0.499302
armtoken,0.53,0.509217
armtoken,0.54,0.518782
armtoken,0.55,0.527894
armtoken,0.56,0.536971
armtoken,0.57,0.546258
armtoken,0.58,0.557569
armtoken,0.59,0.567309
armtoken,0.6,0.576072
armtoken,0.61,0.586056
armtoken,0.62,0.595517
armtoken,0.63,0.607108
armtoken,0.64,0.616325
armtoken,0.65,0.626239
armtoken,0.66,0.636433
armtoken,0.67,0.646697
armtoken,0.68,0.655914
armtoken,0.69,0.666213
armtoken,0.7,0.676093
armtoken,0.71,0.686182
armtoken,0.72,0.696481
armtoken,0.73,0.706745
armtoken,0.74,0.717044
armtoken,0.75,0.727866
armtoken,0.76,0.7382
armtoken,0.77,0.748569
armtoken,0.78,0.757855
armtoken,0.79,0.768573
armtoken,0.8,0.777894
armtoken,0.81,0.788472
armtoken,0.82,0.797933
armtoken,0.83,0.807639
armtoken,0.84,0.817169
armtoken,0.85,0.827119
armtoken,0.86,0.83672
armtoken,0.87,0.848624
armtoken,0.88,0.859098
armtoken,0.89,0.870304
armtoken,0.9,0.880952
armtoken,0.91,0.892299
armtoken,0.92,0.903784
armtoken,0.93,0.915584
armtoken,0.94,0.927803
armtoken,0.95,0.938626
armtoken,0.96,0.949658
armtoken,0.97,0.962645
armtoken,0.98,0.974201
armtoken,0.99,0.987956
armtoken,1,1
