model,chromosome_arm,true_r2,pearson_r,pearson_r2,rmse,mae,mean_z,std_z,mean_abs_z,contraction,coverage_50,coverage_90,coverage_95,sbc_ks_stat,sbc_ks_p
armtoken,1p,0.824407,0.908542,0.825448,0.0835565,0.0634641,0.0707366,0.985991,0.754668,0.815542,0.49616,0.894009,0.941628,0.0420538,0.195363
armtoken,1q,0.839526,0.916618,0.840189,0.0825016,0.064736,0.0423725,1.06494,0.832728,0.840577,0.439324,0.854071,0.929339,0.047907,0.0978466
armtoken,2p,0.857831,0.927038,0.8594,0.0764398,0.0594574,0.0968571,1.11695,0.871584,0.876064,0.423963,0.863287,0.923195,0.0861556,0.00011556
armtoken,2q,0.776256,0.882748,0.779244,0.0945469,0.0732973,0.0613006,1.02674,0.796039,0.778006,0.447005,0.875576,0.938556,0.0467616,0.112832
armtoken,3p,0.888362,0.943015,0.889277,0.0698729,0.0546054,0.0801041,0.984331,0.767509,0.864576,0.466974,0.890937,0.947773,0.0605616,0.0161013
armtoken,3q,0.8541,0.925684,0.856891,0.0745428,0.0580016,0.0692201,0.992697,0.780351,0.858396,0.466974,0.895545,0.938556,0.050583,0.0691982
armtoken,4p,0.910137,0.954499,0.911069,0.0616173,0.0467221,0.110099,1.21238,0.936488,0.934134,0.396313,0.777266,0.872504,0.0919461,2.97823e-05
armtoken,4q,0.815747,0.904328,0.817809,0.0891405,0.0688935,0.0622203,0.978103,0.759843,0.783524,0.479263,0.886329,0.938556,0.0399906,0.243841
armtoken,5p,0.923488,0.961545,0.924569,0.0565342,0.042923,0.0632556,1.00128,0.769887,0.917874,0.480799,0.875576,0.932412,0.0476849,0.100615
armtoken,5q,0.830599,0.912002,0.831748,0.0835644,0.0651751,0.064618,1.13137,0.882462,0.856934,0.420891,0.844854,0.920123,0.0696409,0.00340318
armtoken,6p,0.902048,0.949782,0.902086,0.0611346,0.0463712,-0.0217607,1.00276,0.756468,0.899095,0.516129,0.907834,0.941628,0.029707,0.607582
armtoken,6q,0.847445,0.922829,0.851613,0.0782043,0.062062,0.132929,1.00792,0.80418,0.842866,0.44086,0.886329,0.941628,0.0901999,4.52443e-05
armtoken,7p,0.905913,0.951861,0.906039,0.0616003,0.0478498,-0.0118167,0.981256,0.767561,0.895703,0.499232,0.900154,0.947773,0.019709,0.960441
armtoken,7q,0.865285,0.933261,0.870975,0.0710588,0.0550976,0.0703399,0.959564,0.746077,0.856712,0.519201,0.878648,0.933948,0.0357767,0.369319
armtoken,8p,0.909732,0.954653,0.911363,0.0597261,0.0443696,-0.117007,1.08978,0.784733,0.910609,0.490015,0.878648,0.93702,0.056743,0.0290149
armtoken,8q,0.865243,0.931474,0.867644,0.0708537,0.0556253,0.0419927,1.06451,0.840931,0.885518,0.431644,0.87404,0.923195,0.0694843,0.0035021
armtoken,9p,0.906806,0.955221,0.912448,0.0613961,0.0473392,0.175845,0.998502,0.792616,0.906162,0.443932,0.872504,0.93702,0.0881552,7.30791e-05
armtoken,9q,0.867098,0.933344,0.871131,0.071286,0.0568105,0.100882,1.01819,0.819272,0.874201,0.43318,0.861751,0.933948,0.0773979,0.000759704
armtoken,10p,0.923619,0.961349,0.924192,0.0559534,0.041976,0.0558221,0.95731,0.72274,0.905271,0.491551,0.897081,0.947773,0.0333403,0.458036
armtoken,10q,0.869053,0.93395,0.872263,0.0740765,0.0577963,0.11646,0.962162,0.760099,0.847439,0.474654,0.890937,0.941628,0.0738078,0.00155093
armtoken,11p,0.90829,0.954038,0.910188,0.0565796,0.0447226,0.0597558,0.99595,0.782941,0.909284,0.448541,0.866359,0.933948,0.0477163,0.10022
